Aulie-Ata,Taurus,Kazakhstan,—,Dairy,—,—,,,,,
Aure et Saint-Girons,Taurus,France,Meat,Dairy,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Casta8-_SIA2010.JPG/800px-Casta8-_SIA2010.JPG     ,,,,
Australian Braford,Taurus/Indicus hybrid,Australia,Meat,—,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Australian_Braford.JPG/800px-Australian_Braford.JPG     ,,,,
Australian Brangus,Taurus/Indicus hybrid,Australia,Meat,—,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Aus_Brangus.JPG/800px-Aus_Brangus.JPG     ,,,,
Australian Charbray,Taurus/Indicus hybrid,Australia,Meat,—,—,—, https://upload.wikimedia.org/wikipedia/commons/3/38/Charbray.jpg      ,,,,
Australian Friesian Sahiwal,Taurus/Indicus hybrid,Australia,—,Dairy,—,—, https://en.wikipedia.org/wiki/File:AFS_cow.jpg     ,,,,
Australian Lowline,Taurus,Australia,Meat,—,—,—, https://upload.wikimedia.org/wikipedia/commons/a/ae/Lowline_bull.jpg     ,,,,
Australian Milking Zebu,Taurus/Indicus hybrid,Australia,—,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/e/e3/AMZ_cattle.jpg     ,,,,
Australian Shorthorn,—,Australia,Meat,—,—,—,,,,,
Austrian Simmental,—,Austria,—,—,—,—,,,,,
Austrian Yellow,—,Austria,—,—,—,—,,,,,
Avétonou,—,Togo,—,—,—,—,,,,,
Avileña-Negra Ibérica,—,Spain,—,—,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Avile%C3%B1as_2.jpg/800px-Avile%C3%B1as_2.jpg     ,,,,
Aweil Dinka,—,South Sudan,—,—,—,—,,,,,
Ayrshire,Taurus,Scotland,—,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/AyrshireCattle1.JPG/800px-AyrshireCattle1.JPG     ,,,,
Azaouak,—,Mali,—,—,—,—,,,,,
Azebuado,—,Brazil,—,—,—,—,,,,,
Azerbaijan Zebu,—,Azerbaijan,—,—,—,—,,,,,
Azores,—,Portugal,—,—,—,—,,,,,
Albera,Taurus,"Spain, France",Meat,—,—,Semi-feral,,,,,
Aleutian wild cattle,—,United States,—,—,—,Feral,,,,,
Amrit Mahal,Indicus,India,—,—,—,Developed from Hallikar cattle for war purposes,,,,,
Amsterdam Island cattle,Taurus,Amsterdam Island,—,—,—,Feral,,,,,
Andalusian Black,Taurus,Spain,Meat,—,—,Endangered,,,,,
Ankole-Watusi,Indicus,United States,,,,Show,,,,,
Breed,Subspecies,Country/region of origin,Meat,Dairy,Draught,Other,Image2,,,,
Bachaur cattle,Indicus,India,—,Dairy,Draught,—,,,,,
Baherie cattle,Indicus,Eritrea,Meat,Dairy,—,—,,,,,
Bakosi cattle,Taurus,Cameroon,Meat,—,—,Rituals,,,,,
Balancer,Taurus,United States,Meat,Dairy,—,Gelbvieh/American Angus crossbreed,,,,,
Bali cattle,Banteng,Indonesia,Meat,—,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Bali_cattle_IPB_Jonggol.jpg/800px-Bali_cattle_IPB_Jonggol.jpg     ,,,,
Baoule,Taurus,Ivory Coast,—,Dairy,—,—,,,,,
Bargur cattle,Indicus,India,—,Dairy,Draught,"Semi-wild, native to Bargur forest region, bred and grazed by the local Lingayat community", https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Baragur_02.JPG/800px-Baragur_02.JPG     ,,,,
Barrosã,Taurus,Portugal,Meat,—,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Vaca_barros%C3%A3.JPG/800px-Vaca_barros%C3%A3.JPG     ,,,,
Barzona,Taurus/Indicus hybrid,United States,Meat,—,—,—,,,,,
Bazadaise,Taurus,France,Meat,—,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Bazadaise.jpg/800px-Bazadaise.jpg     ,,,,
Beef Freisian,Taurus,United States,Meat,Dairy,—,—,,,,,
Beefalo,Taurus/American bison hybrid,United States,Meat,—,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/XJ-B1_Beefalo.jpg/800px-XJ-B1_Beefalo.jpg     ,,,,
Beefmaker,Taurus/Indicus hybrid,United States,Meat,—,—,—,,,,,
Beefmaster,Taurus/Indicus hybrid,United States,Meat,—,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Beefmaster_Females.jpg/800px-Beefmaster_Females.jpg     ,,,,
Begayt,—,Ethiopia,Meat,Dairy,Draught,—,,,,,
