Gloucester,Taurus,England,Meat,Dairy,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Gloucester_cow.jpg/150px-Gloucester_cow.jpg     ,,,,
Gobra,Indicus,—,Meat,—,Draught,—,,,,,
Greek Shorthorn,Taurus,Greece,Meat,Dairy,—,—,,,,,
Greek Steppe,Taurus,Greece,Meat,Dairy,Draught,—,,,,,
Greyman cattle,Taurus/Indicus hybrid,Australia,Meat,—,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Greyman.JPG/150px-Greyman.JPG     ,,,,
Gudali,Indicus,Iran/Persia,—,Dairy,Draught,—,,,,,
Guernsey cattle,Taurus,Channel Islands,—,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Guernsey_cow_or_calf_lying_on_the_ground%2C_ca_1941-42.jpg/1280px-Guernsey_cow_or_calf_lying_on_the_ground%2C_ca_1941-42.jpg     ,,,,
Guzerá,Indicus,Brazil,Meat,—,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Guzer%C3%A1_macho_-_EMAPA_100307_REFON_1.jpg/150px-Guzer%C3%A1_macho_-_EMAPA_100307_REFON_1.jpg     ,,,,
Breed,Subspecies,Country/region of origin,Meat,Dairy,Draught,Other,Image2,,,,
Hallikar,Indicus,India,,—,Draught,Origin of Amrit Mahal cattle, https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Hallikaru_01.JPG/150px-Hallikaru_01.JPG     ,,,,
Hanwoo,Taurus,Korea,Meat,—,Draught,Cow fighting, https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/So_%28Korean_cattle%29.jpg/150px-So_%28Korean_cattle%29.jpg     ,,,,
Hariana cattle,Indicus,India,—,Dairy,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Hariana_01.JPG/150px-Hariana_01.JPG     ,,,,
Hartón del Valle,Taurus,Colombia,Meat,Dairy,Draught,—,,,,,
Harzer Rotvieh,Taurus,Germany,Meat,Dairy,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Harz-Kuh.jpg/150px-Harz-Kuh.jpg     ,,,,
Hays Converter,Taurus,Canada,Meat,—,—,—,,,,,
Heck cattle,Taurus,Germany,—,—,—,Science, https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Laufende_schwarze_Kuh.JPG/150px-Laufende_schwarze_Kuh.JPG     ,,,,
Hereford,Taurus,England,Meat,—,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Hereford_bull_large.jpg/150px-Hereford_bull_large.jpg     ,,,,
Herens,Taurus,"Switzerland, Italy, France",Meat,—,—,Cow fighting, https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Eringerkuh.jpg/150px-Eringerkuh.jpg     ,,,,
Hybridmaster,Taurus/Indicus hybrid,—,Meat,Dairy,—,—,,,,,
Highland cattle,Taurus,Scotland,Meat,—,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Cow_on_Pupers.jpg/150px-Cow_on_Pupers.jpg     ,,,,
Hinterwald,Taurus,Germany,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/a/a7/Cow_suckling.jpg     ,,,,
Holando-Argentino,Taurus,Argentina,Meat,Dairy,—,—,,,,,
Holstein Friesian cattle,Taurus,"Germany, the Netherlands",Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Cow_female_black_white.jpg/150px-Cow_female_black_white.jpg     ,,,,
Horro,Indicus,Ethiopia,Meat,—,Draught,—,,,,,
Huáng Cattle,Taurus,China,Meat,Dairy,Draught,,,,,,
Hungarian Grey,Taurus,Hungary,Meat,—,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Hungarian_Grey_Cattle.jpg/150px-Hungarian_Grey_Cattle.jpg     ,,,,
Breed,Subspecies,Country/region of origin,Meat,Dairy,Draught,Other,Image2,,,,
Iberian cattle,—,Spain,—,—,—,—,,,,,
Icelandic,Taurus,Iceland,—,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Cow_in_Iceland.jpg/150px-Cow_in_Iceland.jpg     ,,,,
Illawarra cattle,Taurus,Australia,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Illawarra.jpg/150px-Illawarra.jpg     ,,,,
Improved Red and White,Taurus,—,Meat,—,—,—,,,,,
Indo-Brazilian,Indicus,—,Meat,—,—,—,,,,,
Irish Moiled,Taurus,Ireland,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Irish_moiled.jpg/150px-Irish_moiled.jpg     ,,,,
Israeli Holstein,Taurus,Israel,—,Dairy,—,—,,,,,
Israeli Red,Taurus/Indicus hybrid,Israel,Meat,Dairy,—,—,,,,,
Istoben cattle,Taurus,—,Meat,Dairy,—,—,,,,,
Istrian cattle,see Boškarin,see Boškarin,see Boškarin,see Boškarin,see Boškarin,see Boškarin, https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Bo%C5%A1karin_2.jpg/120px-Bo%C5%A1karin_2.jpg     ,,,,
Breed,Subspecies,Country/region of origin,Meat,Dairy,Draught,Other,Image2,,,,
Jamaica Black,Taurus/Indicus hybrid,Jamaica,Meat,Dairy,—,—,,,,,
Jamaica Hope,Taurus/Indicus hybrid,Jamaica,—,Dairy,—,—,,,,,
Jamaica Red,Taurus/Indicus hybrid,Jamaica,Meat,—,—,—,,,,,
Japanese Black,Taurus,Japan,Meat,—,—,One of the four wagyu breeds, https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Tajimagyu2.jpg/150px-Tajimagyu2.jpg     ,,,,
Japanese Brown,Taurus,Japan,Meat,—,—,One of the four wagyu breeds, https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/10th_Wagyukyoshinkai_Shinsa%2C_Japanese_Brown.jpg/150px-10th_Wagyukyoshinkai_Shinsa%2C_Japanese_Brown.jpg     ,,,,
Japanese Polled,Taurus,Japan,Meat,—,—,One of the four wagyu breeds, https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Japanese_Polled_%3D_%E4%B8%96%E7%95%8C%E3%81%AE%E7%89%9B_%E7%84%A1%E8%A7%92%E5%92%8C%E7%A8%AE%EF%BC%88%E9%9B%84%EF%BC%89_%2835896549093%29.jpg/150px-Japanese_Polled_%3D_%E4%B8%96%E7%95%8C%E3%81%AE%E7%89%9B_%E7%84%A1%E8%A7%92%E5%92%8C%E7%A8%AE%EF%BC%88%E9%9B%84%EF%BC%89_%2835896549093%29.jpg     ,,,,
Japanese Shorthorn,Taurus,Japan,Meat,—,—,One of the four wagyu breeds, https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Japanese_Shorthorn_%3D_%E4%B8%96%E7%95%8C%E3%81%AE%E7%89%9B_%E6%97%A5%E6%9C%AC%E7%9F%AD%E8%A7%92%E7%A8%AE%EF%BC%88%E9%9B%8C%EF%BC%89_%2836660258406%29.jpg/150px-Japanese_Shorthorn_%3D_%E4%B8%96%E7%95%8C%E3%81%AE%E7%89%9B_%E6%97%A5%E6%9C%AC%E7%9F%AD%E8%A7%92%E7%A8%AE%EF%BC%88%E9%9B%8C%EF%BC%89_%2836660258406%29.jpg     ,,,,
Jarmelista,Taurus,Portugal,Meat,—,Draught,—,,,,,
Javari cattle,Indicus,India,—,—,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Javari_02.JPG/150px-Javari_02.JPG     ,,,,
Jersey cattle,Taurus,Channel Islands,—,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Walworth_Gate_010.jpg/150px-Walworth_Gate_010.jpg     ,,,,
Jutland cattle,Taurus,Denmark,Meat,Dairy,—,—,,,,,
Breed,Subspecies,Country/region of origin,Meat,Dairy,Draught,Other,Image2,,,,
Kabin Buri cattle,Taurus/Indicus hybrid,Thailand,Meat,Dairy,—,Crossbreed between Brahman and Simmental,,,,,
Kalmyk cattle,Taurus,Russia,Meat,Dairy,—,—,,,,,
Kangayam,Indicus,India,—,Dairy,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Kangayam_02.JPG/150px-Kangayam_02.JPG     ,,,,
Kankrej,Indicus,India,—,Dairy,Draught,—,,,,,
Kamphaeng Saen cattle,Taurus/Indicus hybrid,Thailand,Meat,—,—,—,,,,,
Karan Swiss,Taurus/Indicus hybrid,—,Meat,Dairy,—,—,,,,,
Kasaragod Dwarf cattle,Indicus,India,—,Dairy,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/%E0%B4%95%E0%B4%BE%E0%B4%B8%E0%B5%BC%E0%B4%97%E0%B5%8B%E0%B4%A1%E0%B5%8D_%E0%B4%95%E0%B5%81%E0%B4%B3%E0%B5%8D%E0%B4%B3%E0%B5%BB_Kasaragod_dwarf_cattle.jpg/150px-%E0%B4%95%E0%B4%BE%E0%B4%B8%E0%B5%BC%E0%B4%97%E0%B5%8B%E0%B4%A1%E0%B5%8D_%E0%B4%95%E0%B5%81%E0%B4%B3%E0%B5%8D%E0%B4%B3%E0%B5%BB_Kasaragod_dwarf_cattle.jpg     ,,,,
Kathiawadi,Indicus,India,—,—,Draught,—,,,,,
Kazakh Whiteheaded,Taurus,—,Meat,Dairy,—,—,,,,,
Kenana cattle,Indicus,Sudan,—,Dairy,—,—,,,,,
Kenkatha cattle,Indicus,India,—,—,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Kenkatha_02.JPG/150px-Kenkatha_02.JPG     ,,,,
Kerry cattle,Taurus,Ireland,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Kerry_cow_and_calf_in_Killarney_National_Park.jpg/150px-Kerry_cow_and_calf_in_Killarney_National_Park.jpg     ,,,,
Kherigarh,Indicus,India,—,—,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Kerigar_02.JPG/150px-Kerigar_02.JPG     ,,,,
Khillari cattle,Indicus,India,—,—,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Khilari_01.JPG/150px-Khilari_01.JPG     ,,,,
Kholomogory,Taurus,Russia,Meat,Dairy,—,—,,,,,
Korat Wagyu,Taurus/Indicus hybrid,Thailand,Meat,—,—,—,,,,,
Kostroma cattle,Taurus,Russia,Meat,Dairy,—,—,,,,,
Krishna Valley cattle,Indicus,India,—,Dairy,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Krishna-cow_01.JPG/150px-Krishna-cow_01.JPG     ,,,,
Kuri,Taurus,—,Meat,Dairy,Draught,—,,,,,
Kurgan cattle,Taurus,Russia,Meat,Dairy,—,—,,,,,
Breed,Subspecies,Country/region of origin,Meat,Dairy,Draught,Other,Image2,,,,
La Reina cattle,Taurus,Nicaragua,Meat,Dairy,—,—,,,,,
Lakenvelder cattle,Taurus,Netherlands,—,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Dutch_Belted_Cow.jpg/150px-Dutch_Belted_Cow.jpg     ,,,,
Lampurger,—,—,—,—,—,—,,,,,
Latvian Blue,—,—,—,—,—,—,,,,,
Latvian Brown,Taurus,Latvia,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Latvijas_bruna.JPG/150px-Latvijas_bruna.JPG     ,,,,
Latvian Danish Red,Taurus,Latvia,Meat,Dairy,—,—,,,,,
Lebedyn,Taurus,Ukraine,—,—,—,—,,,,,
Levantina,Taurus,—,Meat,—,Draught,—,,,,,
Limia cattle,Taurus,Spain,Meat,Dairy,Draught,—,,,,,
Limousin,Taurus,France,Meat,—,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Col_de_la_Core_Bovins_15082018_1.jpg/150px-Col_de_la_Core_Bovins_15082018_1.jpg     ,,,,
Limpurger,Taurus,—,Meat,Dairy,—,—,,,,,
Lincoln Red,Taurus,England,Meat,—,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Lincoln_Red_heifer.jpg/150px-Lincoln_Red_heifer.jpg     ,,,,
Linda the cow,Taurus,Canada,—,Dairy,—,—,,,,,
Lynch Lineback,Taurus,Canada,—,Dairy,—,—,,,,,
Lithuanian Black-and-White,—,—,—,—,—,—,,,,,
Lithuanian Light Grey,—,—,—,—,—,—,,,,,
Lithuanian Red,—,Lithuania,Meat,—,—,—,,,,,
Lithuanian White-Backed,—,—,—,—,—,—,,,,,
Lohani cattle,Indicus,—,Meat,—,Draught,—,,,,,
Lourdais,Taurus,France,Meat,Dairy,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Lourdaise_dans_Pyr%C3%A9n%C3%A9es.jpg/150px-Lourdaise_dans_Pyr%C3%A9n%C3%A9es.jpg     ,,,,
Lucerna cattle,Taurus,South America,—,—,—,—,,,,,
Luing,Taurus,Scotland,Meat,—,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Luing_Cattle.jpg/150px-Luing_Cattle.jpg     ,,,,
Breed,Subspecies,Country/region of origin,Meat,Dairy,Draught,Other,image2,,,,
Madagascar Zebu,Indicus,—,Meat,Dairy,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Z%C3%A9bus_de_Madagascar_02.jpg/1024px-Z%C3%A9bus_de_Madagascar_02.jpg      ,,,,
Madura,Banteng/Indicus hybrid,Indonesia,Meat,Dairy,Draught,Racing, https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Sapi_Madura_-_panoramio.jpg/1024px-Sapi_Madura_-_panoramio.jpg      ,,,,
Maine-Anjou,Taurus,France,Meat,Dairy,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Maineanjou.jpg/1024px-Maineanjou.jpg      ,,,,
Malnad Gidda,Indicus,India,—,Dairy,Draught,Semi-dwarf breed, https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Malenadu_Gidda_01.JPG/1024px-Malenadu_Gidda_01.JPG      ,,,,
Malvi,Indicus,India,—,Dairy,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Malvi_02.JPG/1024px-Malvi_02.JPG      ,,,,
Mandalong Special,Taurus/Indicus hybrid,—,Meat,—,—,—,,,,,
Mantequera Leonesa,Taurus,—,Meat,Dairy,Draught,—,,,,,
Maraîchine,Taurus,France,Meat,—,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Maraichine01.jpg/1024px-Maraichine01.jpg      ,,,,
Maramureş Brown,—,Romania,—,—,—,—,,,,,
Marchigiana,Taurus,Italy,Meat,—,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Esemplare_di_razza_bovina_marchigiana.jpg/1024px-Esemplare_di_razza_bovina_marchigiana.jpg      ,,,,
Maremmana,Taurus,Italy,Meat,Dairy,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Maremmana_cattle_2008.jpg/1024px-Maremmana_cattle_2008.jpg      ,,,,
Marinhoa,Taurus,Portugal,Meat,Dairy,Draught,—,,,,,
Maronesa,Taurus,Portugal,Meat,Dairy,Draught,—, https://upload.wikimedia.org/wikipedia/commons/3/3f/Maronesa_no_Alv%C3%A3o_derived_2.jpg      ,,,,
Masai,Indicus,—,Meat,—,Draught,—,,,,,
Mashona,Taurus,—,Meat,—,Draught,—,,,,,
Menorquina,Taurus,—,—,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/a/a3/Vaca_menorquina.jpg      ,,,,
Mertolenga,Taurus,Portugal,Meat,—,Draught,—,,,,,
Meuse-Rhine-Issel,Taurus,Netherlands,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Koeien_met_horens.jpg/150px-Koeien_met_horens.jpg      ,,,,
Mewati,Indicus,India,—,Dairy,Draught,—,,,,,
Milking Shorthorn,Taurus,Great Britain,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Milking_shorthorns.JPG/150px-Milking_shorthorns.JPG     ,,,,
Minhota,Taurus,Portugal,Meat,Dairy,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Vaca_gallega.JPG/150px-Vaca_gallega.JPG     ,,,,
Mirandesa,Taurus,Portugal,Meat,—,Draught,—,,,,,
Mocăniţă,—,Romania,—,—,—,—,,,,,
Mollie,Taurus,Spain,Meat,—,Draught,—,,,,,
Monchina,Taurus,Spain,Meat,—,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Sementales_H-B_monchina_%28cropped%29.jpg/150px-Sementales_H-B_monchina_%28cropped%29.jpg     ,,,,
Mongolian,Taurus,China,Meat,—,Draught,—,,,,,
Montbéliarde,Taurus,France,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Vache_Montb%C3%A9liarde.jpg/150px-Vache_Montb%C3%A9liarde.jpg     ,,,,
Morucha,Taurus,—,Meat,—,Draught,Fighting,,,,,
Munshiganj Cattle,—,Bangladesh,Meat,—,—,—,,,,,
Muturu,Taurus africanus,Nigeria,Meat,Dairy,—,—,,,,,
Murboden,Taurus,Austria,Meat,Dairy,Draught,—,,,,,
Murnau-Werdenfels,Taurus,Germany,—,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Murnau-Werdenfelser-Rind.jpg/150px-Murnau-Werdenfelser-Rind.jpg     ,,,,
Murray Grey,Taurus,Australia,Meat,—,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/CSIRO_ScienceImage_1081_Murray_gray_cows.jpg/150px-CSIRO_ScienceImage_1081_Murray_gray_cows.jpg     ,,,,
Breed,Subspecies,Country/region of origin,Meat,Dairy,Draught,Other,image2,,,,
Nagori,Indicus,India,—,—,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Nagori_02.JPG/1024px-Nagori_02.JPG      ,,,,
N'Dama,Taurus,Guinea,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/N%27Dama_herd_in_West_Africa.jpg/1024px-N%27Dama_herd_in_West_Africa.jpg      ,,,,
Negra Andaluza,Taurus,Spain,Meat,—,Draught,—,,,,,
Nelore,Indicus,Brazil,Meat,—,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Touro_Nelore_REFON.jpg/1024px-Touro_Nelore_REFON.jpg      ,,,,
Nguni,Taurus/Indicus hybrid,Southern Africa,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Nguni_cattle.jpg/1024px-Nguni_cattle.jpg      ,,,,
Nimari,Indicus,India,—,—,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Nimari_02.JPG/1024px-Nimari_02.JPG      ,,,,
Normande,Taurus,France,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Vachesnormandes.jpg/1024px-Vachesnormandes.jpg      ,,,,
North Bengal Grey,,Bangladesh,Meat,Dairy,—,—,,,,,
Northern Finncattle,Taurus,Finland,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Pohjoissuomenkarja.jpg/1024px-Pohjoissuomenkarja.jpg      ,,,,
Northern Shorthorn,Taurus,Great Britain,—,Dairy,—,—,,,,,
Norwegian Red,Taurus,Norway,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/NRF_NorwegianRed_daughter_10579_Eggtroen.jpg/1024px-NRF_NorwegianRed_daughter_10579_Eggtroen.jpg      ,,,,
Breed,Subspecies,Country/region of origin,Meat,Dairy,Draught,Other,image2,,,,
Ongole,Indicus,India,Meat,Dairy,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/The_Ongole_Bull_of_Moses.jpg/150px-The_Ongole_Bull_of_Moses.jpg      ,,,,
Original Simmental,Taurus,Switzerland,Meat,Dairy,—,—,,,,,
Breed,Subspecies,Country/region of origin,Meat,Dairy,Draught,Other,image2,,,,
Pajuna,Taurus,Spain,Meat,—,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Fernando_Garc%C3%ADa_%2846%29.jpg/1024px-Fernando_Garc%C3%ADa_%2846%29.jpg     ,,,,
Palmera,Taurus,—,Meat,—,Draught,Sport, https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/La_Palma_-_Brena_Alta_-_Carretera_San_Isidro_-_Palmera_03_ies_cropped.jpg/800px-La_Palma_-_Brena_Alta_-_Carretera_San_Isidro_-_Palmera_03_ies_cropped.jpg      ,,,,
Pantaneiro,—,Brazil,—,—,—,—,,,,,
Parda Alpina,Taurus,Spain,Meat,Dairy,—,—,,,,,
Parthenaise,Taurus,France,Meat,—,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/T%C3%AAte_parthenaise.jpg/1024px-T%C3%AAte_parthenaise.jpg      ,,,,
Pasiega,Taurus,Spain,—,Dairy,—,—,,,,,
Pembroke,Taurus,Wales,Meat,Dairy,—,—,,,,,
Philippine Native,Taurus,Philippines,Meat,Dairy,Draught,—, https://upload.wikimedia.org/wikipedia/commons/6/63/Philippine_cow.jpg     ,,,,
Pie Rouge des Plaines,Taurus,France,—,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Pie_rouge_des_plaines_SDA2010.JPG/1024px-Pie_rouge_des_plaines_SDA2010.JPG      ,,,,
Piedmontese cattle,Taurus,Italy,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Race_piemontaise.JPG/1024px-Race_piemontaise.JPG      ,,,,
Pineywoods,Taurus,—,Meat,Dairy,Draught,—, https://upload.wikimedia.org/wikipedia/commons/a/a0/Pineywoods_Bull_image_available-_www.pcrba.org.png      ,,,,
Pinzgauer,Taurus,Austria,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/VachePinzgauer2.JPG/1024px-VachePinzgauer2.JPG      ,,,,
Pirenaica,Taurus,"Spain, France",Meat,—,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Vacas_pirenaicas_Hualde...jpg/1024px-Vacas_pirenaicas_Hualde...jpg      ,,,,
Podolac,Taurus,Croatia,Meat,Dairy,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Slavonsko_srijemski_podolac.jpg/1024px-Slavonsko_srijemski_podolac.jpg      ,,,,
Podolica,Taurus,Italy,Meat,Dairy,Draught,—, https://upload.wikimedia.org/wikipedia/commons/3/30/Vitelli_da_ingrasso_Podolici_a_Cancellara_%28Basilicata%29.jpg      ,,,,
Polish Black-and-White,—,—,—,—,—,—,,,,,
Polish Red,Taurus,Poland,Meat,Dairy,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Czerwone_krowy_-_01.JPG/1024px-Czerwone_krowy_-_01.JPG      ,,,,
Polled Hereford,Taurus,England,Meat,—,—,—, https://upload.wikimedia.org/wikipedia/commons/5/5a/PolledHereford_bull.jpg     ,,,,
Poll Shorthorn,Taurus,Australia,Meat,—,—,—,,,,,
Polled Shorthorn,Taurus,United States,Meat,—,—,—,,,,,
Ponwar,Indicus,India,—,—,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Ponwar_01.JPG/1024px-Ponwar_01.JPG      ,,,,
Preta,Taurus,Portugal,Meat,—,Draught,—,,,,,
Prim'Holstein,Taurus,France,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Prim%27Holstein_qui_se_gratte_03.jpg/1024px-Prim%27Holstein_qui_se_gratte_03.jpg      ,,,,
Punganur,Indicus,India,Meat,Dairy,Draught,—, https://upload.wikimedia.org/wikipedia/commons/b/b0/Punganur_bull.jpg      ,,,,
Pulikulam,Indicus,India,—,Dairy,Draught,Jallikattu,,,,,
Pustertaler Sprinzen,Taurus,—,Meat,—,—,—, https://upload.wikimedia.org/wikipedia/commons/7/71/Pustertaler_Schecke1.jpg      ,,,,
Breed,Subspecies,Country/region of origin,Meat,Dairy,Draught,Other,image2,,,,
Qinchaun,Taurus,China,Meat,—,Draught,—,,,,,
Queensland Miniature Boran,Taurus,—,Meat,—,—,Pets,,,,,
Breed,Subspecies,Country/region of origin,Meat,Dairy,Draught,Other,image2,,,,
Ramo Grande,Taurus,Portugal,Meat,Dairy,Draught,—, https://upload.wikimedia.org/wikipedia/commons/c/c6/Carro_de_Bois_com_o_condutor%2C_A%C3%A7ores%2C_Portugal.jpg      ,,,,
Randall,Taurus,United States,Meat,Dairy,Draught,—, https://upload.wikimedia.org/wikipedia/commons/0/0e/Randalloxteam.jpg      ,,,,
Raramuri Criollo,Taurus,"Chihuahua, Mexico",Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Raramuri_Criollo_Bulls_at_the_Jornada_Experimental_Range%2C_NM.jpg/1024px-Raramuri_Criollo_Bulls_at_the_Jornada_Experimental_Range%2C_NM.jpg      ,,,,
Rathi,Indicus,India,—,Dairy,Draught,Domestic, https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Rathi_01.JPG/1024px-Rathi_01.JPG      ,,,,
Rätisches Grauvieh,Taurus,Switzerland,Meat,Dairy,Draught,—,,,,,
Raya,—,Ethiopia,Meat,Dairy,Draught,—, https://upload.wikimedia.org/wikipedia/en/9/90/Raya_oxen_at_ploughing.jpg      ,,,,
Red Angus,Taurus,Scotland,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Red-angus.jpg/1024px-Red-angus.jpg      ,,,,
Red Brangus,Taurus/Indicus hybrid,—,Meat,—,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Red_Brangus_Bull.png/150px-Red_Brangus_Bull.png      ,,,,
Red Chittagong,Indicus,Bangladesh,—,—,Draught,Good reproductive performance,,,,,
Red Fulani,Taurus/Indicus hybrid,West Africa,Meat,—,—,—,,,,,
Red Gorbatov,Taurus,Russia,—,Dairy,—,—,,,,,
Red Holstein,Taurus,—,—,Dairy,—,—,,,,,
Red Kandhari,Indicus,India,—,—,Draught,Domestic, https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Red_Kandhari_01.JPG/1024px-Red_Kandhari_01.JPG      ,,,,
Red Mingrelian,,Georgia,Meat,Dairy,,,,,,,
Red Poll,Taurus,England,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Red_Poll_heifers.JPG/1024px-Red_Poll_heifers.JPG      ,,,,
Red Polled Østland,Taurus,Norway,Meat,Dairy,—,—,,,,,
Red Sindhi,Indicus,Pakistan,Meat,Dairy,—,—,,,,,
Retinta,Taurus,—,Meat,—,Draught,—,,,,,
Riggit Galloway,Taurus,—,Meat,—,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Galloway.jpg/1024px-Galloway.jpg      ,,,,
Ringamåla,Taurus,Sweden,—,Dairy,—,—,,,,,
Rohjan,Indicus,—,Meat,—,Draught,—,,,,,
Romagnola,Taurus,Italy,Meat,—,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Vacca_Romagnola_%283611366059%29.jpg/1024px-Vacca_Romagnola_%283611366059%29.jpg      ,,,,
Romanian Bălţata,—,Romania,—,—,—,—,,,,,
Romanian Steppe Gray,—,Romania,—,—,—,—,,,,,
Romosinuano,Taurus,Colombia,Meat,—,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Romosinuano_cattle.jpg/1024px-Romosinuano_cattle.jpg      ,,,,
Russian Black Pied,Taurus,Russia,Meat,Dairy,Draught,—,,,,,
